"user_id","dt","inc_amt"
101682,2017-03-10,225.37
100951,2017-03-10,10.72
101683,2017-03-10,828.57
101684,2017-03-10,39.34
101685,2017-03-10,101
100390,2017-03-10,60.66
100366,2017-03-10,26.47
101688,2017-03-10,17.78
101690,2017-03-10,572.56
100638,2017-03-10,70.94
100910,2017-03-11,71.56
100636,2017-03-11,42.08
100190,2017-03-11,94.41
101695,2017-03-11,1931.82
101696,2017-03-11,137.02
101698,2017-03-11,27.31
101699,2017-03-11,78.26
101700,2017-03-11,215.85
101701,2017-03-11,52.01
101702,2017-03-11,144.76
101704,2017-03-11,34.93
101705,2017-03-11,227.4
101706,2017-03-11,16.05
101710,2017-03-11,28.16
101711,2017-03-11,92.6
101712,2017-03-11,16.68
101716,2017-03-11,48.64
101640,2017-03-11,25.11
100592,2017-03-11,18.69
101721,2017-03-11,44.8
101722,2017-03-11,280.1
101724,2017-03-11,135.51
101726,2017-03-11,59.23
100059,2017-03-11,100.31
101727,2017-03-11,55.39
101034,2017-03-11,2627.27
101731,2017-03-11,61.32
101733,2017-03-11,27.3
100895,2017-03-11,52.32
101735,2017-03-11,22.32
101736,2017-03-11,86.39
101737,2017-03-11,44.28
100296,2017-03-11,21.57
101472,2017-03-11,25.25
101739,2017-03-11,13.24
101740,2017-03-11,39.74
101742,2017-03-11,30.7
101742,2017-03-11,13.55
101747,2017-03-11,73.18
101748,2017-03-11,16.86
101749,2017-03-11,47.27
101750,2017-03-11,20.06
101751,2017-03-11,133.76
101754,2017-03-11,26.16
101755,2017-03-11,76.75
100604,2017-03-11,34.33
101758,2017-03-11,155.2
101215,2017-03-11,12.88
101763,2017-03-11,335.71
100099,2017-03-11,24.9
101092,2017-03-11,176.34
101764,2017-03-11,389.38
101765,2017-03-11,48.02
101766,2017-03-11,163.03
101769,2017-03-11,49.33
100638,2017-03-11,13.21
101770,2017-03-11,28.14
100637,2017-03-11,24.28
101772,2017-03-11,42.08
101773,2017-03-11,19.5
101774,2017-03-11,1501.99
101775,2017-03-11,16.19
101778,2017-03-11,188
101782,2017-03-11,75
101784,2017-03-11,17.56
101788,2017-03-11,26.69
101789,2017-03-11,20.35
101790,2017-03-11,13.1
101791,2017-03-11,82.63
100556,2017-03-11,12.21
101794,2017-03-11,11.41
101795,2017-03-11,32.73
100640,2017-03-11,58.28
101800,2017-03-12,3457.89
101434,2017-03-12,59.16
101449,2017-03-12,802
101801,2017-03-12,83.28
101802,2017-03-12,31.79
100772,2017-03-12,149.43
101804,2017-03-12,424.77
101805,2017-03-12,56.25
100932,2017-03-12,21.09
101806,2017-03-12,247.65
101807,2017-03-12,12.25
101808,2017-03-12,29.68
101811,2017-03-12,62.55
101812,2017-03-12,11.52
101415,2017-03-12,13.81
101813,2017-03-12,13.01
101816,2017-03-12,157.34
101713,2017-03-12,40.78
101818,2017-03-12,300.13
100915,2017-03-12,171.3
100381,2017-03-12,80.24
101820,2017-03-12,19.11
101821,2017-03-12,35.34
101822,2017-03-12,19.27
101056,2017-03-12,150.18
101824,2017-03-12,19.84
101825,2017-03-12,27.42
101828,2017-03-12,15.47
101832,2017-03-12,56.49
101833,2017-03-12,61.29
101834,2017-03-12,53.56
101164,2017-03-12,42.34
101840,2017-03-12,74.2
100319,2017-03-12,41.48
101842,2017-03-12,52.17
101843,2017-03-12,99.6
101845,2017-03-12,28.63
101846,2017-03-12,15.21
100842,2017-03-12,84.93
101847,2017-03-12,99.44
100268,2017-03-12,24.7
101851,2017-03-12,20.17
101853,2017-03-12,33.46
101855,2017-03-12,12
101857,2017-03-12,188.98
101860,2017-03-12,102.14
101861,2017-03-12,19.44
101638,2017-03-12,85.24
101863,2017-03-12,66.39
101864,2017-03-12,53.26
100689,2017-03-12,40.78
101865,2017-03-12,58.69
101868,2017-03-12,51.04
101869,2017-03-12,33.46
101870,2017-03-12,50.07
101873,2017-03-12,13.78
101874,2017-03-12,14.63
101876,2017-03-12,58.9
100014,2017-03-12,53.51
101877,2017-03-12,172.29
101878,2017-03-12,180.63
101879,2017-03-12,32.35
101880,2017-03-12,16.96
101881,2017-03-12,275
101883,2017-03-12,11.89
101886,2017-03-12,32.2
101887,2017-03-12,63.1
101888,2017-03-12,14.07
101890,2017-03-12,19.78
101894,2017-03-12,184.36
101895,2017-03-12,158.55
101897,2017-03-12,60.1
101899,2017-03-12,35.13
101900,2017-03-12,46.59
101904,2017-03-12,48.25
101907,2017-03-12,20.23
101908,2017-03-12,126.09
101909,2017-03-12,15.32
100739,2017-03-12,31.43
101911,2017-03-12,43.1
100771,2017-03-12,75.35
101912,2017-03-12,497.1
101913,2017-03-12,242.49
101915,2017-03-12,22.55
101917,2017-03-12,32.16
100944,2017-03-12,13.46
101918,2017-03-12,12.52
101921,2017-03-12,15.46
101921,2017-03-12,14.66
100209,2017-03-12,68.95
101923,2017-03-12,74.58
101925,2017-03-12,27.33
101926,2017-03-12,27.33
101927,2017-03-12,19.22
101928,2017-03-12,44
101932,2017-03-12,301.17
100440,2017-03-12,14.73
101937,2017-03-12,11.23
101942,2017-03-12,16.17
101944,2017-03-12,92.35
101945,2017-03-12,26.62
101947,2017-03-12,66.58
101114,2017-03-12,26.13
100391,2017-03-12,14.96
101950,2017-03-12,16.18
101954,2017-03-12,97.36
101956,2017-03-12,18.81
101957,2017-03-12,25.67
101958,2017-03-12,10.85
101960,2017-03-12,14.56
101967,2017-03-12,39.7
101969,2017-03-12,74.24
101970,2017-03-12,280.33
100865,2017-03-12,13.46
101972,2017-03-12,558.65
101081,2017-03-12,18.36
100770,2017-03-12,24.98
100392,2017-03-12,48.62
100536,2017-03-12,11.61
101976,2017-03-12,112.88
101978,2017-03-12,77.8
101979,2017-03-12,28.93
101981,2017-03-12,88.2
101982,2017-03-12,79.96
101983,2017-03-12,547.92
101987,2017-03-12,32.81
101988,2017-03-12,69.22
101989,2017-03-13,123.51
101992,2017-03-13,66
101993,2017-03-13,21.47
101994,2017-03-13,15.71
100612,2017-03-13,57.58
100900,2017-03-13,92.02
101996,2017-03-13,31.48
101997,2017-03-13,583.97
101999,2017-03-13,437.82
102002,2017-03-13,45.68
102004,2017-03-13,57.71
102005,2017-03-13,237.11
100327,2017-03-13,172.35
102006,2017-03-13,13.57
102010,2017-03-13,19.43
100236,2017-03-13,29.8
102014,2017-03-13,52.16
102015,2017-03-13,201.35
102017,2017-03-13,25.35
102018,2017-03-13,46.81
102020,2017-03-13,13.4
100600,2017-03-13,26.25
102023,2017-03-13,54.44
102024,2017-03-13,65.14
102026,2017-03-13,16.24
102027,2017-03-13,124.65
102028,2017-03-13,87.9
101616,2017-03-13,17.36
101156,2017-03-13,194.75
